Date,Description,Sub Category,Category,Amount,Transaction Type,Account 
2018-01-22,Exxon,Gas,Utilities,27.4,debit,Chase CC
2018-01-22,Mount Pleasant SC,Golf,Entertainment,28,debit,Chase CC
2018-01-22,Mount Pleasant SC,Golf,Entertainment,8,debit,Chase CC
2018-01-22,Levelup Thb,Restaurants,Food and dining,7.8,debit,Chase CC
2018-01-23,Balto City,Government fee,Housing,123.7,debit,Ally Checking
2018-01-23,TRADER JOE'S #655  QPS,Groceries,Food and dining,65.2,debit,Southwest CC
2018-01-23,MATTHEW'S HALLMARK #67,Household goods,Household,2.1,debit,Southwest CC
2018-01-23,USPS,Shipping and Handling Expenses,Miscellaneous,6.7,debit,Chase CC
2018-01-24,Chick-Fil-A,Restaurants,Food and dining,7.1,debit,Chase CC
2018-01-26,Transfer to Marriott,iTunes ,Entertainment,10,debit,Chase CC
2018-01-26,AMBASSADOR DINING ROOM,Restaurants,Food and dining,137,debit,Southwest CC
2018-01-26,Burger Brothers,Restaurants,Food and dining,10.6,debit,Chase CC
2018-01-26,Chipotle,Restaurants,Food and dining,9.1,debit,Chase CC
2018-01-26,SUNSET RAW JUICE BAR LLC,Restaurants,Food and dining,17.5,debit,Southwest CC
2018-01-27,SAFEWAY #1481,Groceries,Food and dining,69.1,debit,Southwest CC
2018-01-27,CANTON ACE HARDWARE,Household goods,Household,20.8,debit,Southwest CC
2018-01-28,Dunkin Donuts,Coffee shops & Bakeries,Food and dining,2.6,debit,Chase CC
2018-01-28,Wawa,Convenience Store,Food and dining,10.3,debit,Chase CC
2018-01-28,Sunoco,Gas,Utilities,26.1,debit,Chase CC
2018-01-28,Great,NA,Miscellaneous,3.9,debit,Chase CC
2018-01-29,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-01-29,7-Eleven,Convenience Store,Food and dining,5.5,debit,Chase CC
2018-01-29,Exxon,Gas,Utilities,27.9,debit,Chase CC
2018-01-29,TRADER JOE'S #655  QPS,Groceries,Food and dining,16.5,debit,Southwest CC
